Site,Longitude,Latitude,Var1
IsleOfMay,-1.570523508,55.42064764,-209.9275146
IsleOfMay,-1.570523508,55.42898365,-201.6556023
IsleOfMay,-1.562187396,55.42898365,-216.1767309
IsleOfMay,-1.553851284,55.42898365,-231.5087793
IsleOfMay,-1.545515172,55.42898365,-247.6690547
IsleOfMay,-1.57885962,55.43731965,-179.9670944
IsleOfMay,-1.570523508,55.43731965,-193.5994826
IsleOfMay,-1.562187396,55.43731965,-208.0394528
IsleOfMay,-1.553851284,55.43731965,-223.3092031
IsleOfMay,-1.545515172,55.43731965,-239.427101
IsleOfMay,-1.53717906,55.43731965,-256.4078784
IsleOfMay,-1.528842948,55.43731965,-274.2650923
IsleOfMay,-1.57885962,55.44565566,-172.2513327
IsleOfMay,-1.570523508,55.44565566,-185.7842929
IsleOfMay,-1.562187396,55.44565566,-200.1421839
IsleOfMay,-1.553851284,55.44565566,-215.3494717
IsleOfMay,-1.545515172,55.44565566,-231.4257214
IsleOfMay,-1.53717906,55.44565566,-248.3846452
IsleOfMay,-1.528842948,55.44565566,-266.2392358
IsleOfMay,-1.520506836,55.44565566,-285.0064125
IsleOfMay,-1.512170724,55.44565566,-304.6771755
IsleOfMay,-1.57885962,55.45399166,-164.8030314
IsleOfMay,-1.570523508,55.45399166,-178.2373136
IsleOfMay,-1.562187396,55.45399166,-192.5142909
IsleOfMay,-1.553851284,55.45399166,-207.6606873
IsleOfMay,-1.545515172,55.45399166,-223.6988657
IsleOfMay,-1.53717906,55.45399166,-240.6403273
IsleOfMay,-1.528842948,55.45399166,-258.4968563
IsleOfMay,-1.520506836,55.45399166,-277.2789001
IsleOfMay,-1.512170724,55.45399166,-296.9845944
IsleOfMay,-1.503834612,55.45399166,-317.6139287
IsleOfMay,-1.495498499,55.45399166,-339.1394852
IsleOfMay,-1.57885962,55.46232767,-157.6488449
IsleOfMay,-1.570523508,55.46232767,-170.9878564
IsleOfMay,-1.562187396,55.46232767,-185.1893154
IsleOfMay,-1.553851284,55.46232767,-200.2776891
IsleOfMay,-1.545515172,55.46232767,-216.2809994
IsleOfMay,-1.53717906,55.46232767,-233.2049914
IsleOfMay,-1.528842948,55.46232767,-251.0606531
IsleOfMay,-1.520506836,55.46232767,-269.8583702
IsleOfMay,-1.512170724,55.46232767,-289.5969023
IsleOfMay,-1.503834612,55.46232767,-310.2725386
IsleOfMay,-1.495498499,55.46232767,-331.8692367
IsleOfMay,-1.487162387,55.46232767,-354.3567384
IsleOfMay,-1.478826275,55.46232767,-377.7048049
IsleOfMay,-1.587195732,55.47066367,-138.4082419
IsleOfMay,-1.57885962,55.47066367,-150.8167915
IsleOfMay,-1.570523508,55.47066367,-164.066598
IsleOfMay,-1.562187396,55.47066367,-178.2028966
IsleOfMay,-1.553851284,55.47066367,-193.241614
IsleOfMay,-1.545515172,55.47066367,-209.2048547
IsleOfMay,-1.53717906,55.47066367,-226.108198
IsleOfMay,-1.528842948,55.47066367,-243.9584016
IsleOfMay,-1.520506836,55.47066367,-262.7692503
IsleOfMay,-1.512170724,55.47066367,-282.5320147
IsleOfMay,-1.503834612,55.47066367,-303.2433611
IsleOfMay,-1.495498499,55.47066367,-324.8996529
IsleOfMay,-1.487162387,55.47066367,-347.466049
IsleOfMay,-1.478826275,55.47066367,-370.9129139
IsleOfMay,-1.470490163,55.47066367,-395.2117448
IsleOfMay,-1.462154051,55.47066367,-420.3324938
IsleOfMay,-1.453817939,55.47066367,-446.2445411
IsleOfMay,-1.587195732,55.47899968,-132.0132805
IsleOfMay,-1.57885962,55.47899968,-144.332283
IsleOfMay,-1.570523508,55.47899968,-157.5061323
IsleOfMay,-1.562187396,55.47899968,-171.5800864
IsleOfMay,-1.553851284,55.47899968,-186.5682968
IsleOfMay,-1.545515172,55.47899968,-202.4915927
IsleOfMay,-1.53717906,55.47899968,-219.3766789
IsleOfMay,-1.528842948,55.47899968,-237.2229863
IsleOfMay,-1.520506836,55.47899968,-256.0346753
IsleOfMay,-1.512170724,55.47899968,-275.8119192
IsleOfMay,-1.503834612,55.47899968,-296.5553701
IsleOfMay,-1.495498499,55.47899968,-318.2535171
IsleOfMay,-1.487162387,55.47899968,-340.8815264
IsleOfMay,-1.478826275,55.47899968,-364.4131814
IsleOfMay,-1.470490163,55.47899968,-388.8190066
IsleOfMay,-1.462154051,55.47899968,-414.0659738
IsleOfMay,-1.453817939,55.47899968,-440.1207543
IsleOfMay,-1.445481827,55.47899968,-466.9518294
IsleOfMay,-1.437145715,55.47899968,-494.5311693
IsleOfMay,-1.587195732,55.48733568,-125.9623044
IsleOfMay,-1.57885962,55.48733568,-138.2050773
IsleOfMay,-1.570523508,55.48733568,-151.3157428
IsleOfMay,-1.562187396,55.48733568,-165.329549
IsleOfMay,-1.553851284,55.48733568,-180.2691405
IsleOfMay,-1.545515172,55.48733568,-196.1585
IsleOfMay,-1.53717906,55.48733568,-213.0207437
IsleOfMay,-1.528842948,55.48733568,-230.8570347
IsleOfMay,-1.520506836,55.48733568,-249.6653765
IsleOfMay,-1.512170724,55.48733568,-269.4482277
IsleOfMay,-1.503834612,55.48733568,-290.2141083
IsleOfMay,-1.495498499,55.48733568,-311.9425775
IsleOfMay,-1.487162387,55.48733568,-334.6171787
IsleOfMay,-1.478826275,55.48733568,-358.2212066
IsleOfMay,-1.470490163,55.48733568,-382.7235601
IsleOfMay,-1.462154051,55.48733568,-408.0869327
IsleOfMay,-1.453817939,55.48733568,-434.2749855
IsleOfMay,-1.445481827,55.48733568,-461.254137
IsleOfMay,-1.437145715,55.48733568,-488.9954736
IsleOfMay,-1.428809603,55.48733568,-517.4765658
IsleOfMay,-1.420473491,55.48733568,-546.6486714
IsleOfMay,-1.595531844,55.49567169,-108.9277853
IsleOfMay,-1.587195732,55.49567169,-120.2560656
