Site,Longitude,Latitude,Var1
IsleOfMay,-1.862287429,55.6790638,-148.0268576
IsleOfMay,-1.870623541,55.68739981,-144.4979094
IsleOfMay,-1.862287429,55.68739981,-146.0204112
IsleOfMay,-1.878959653,55.69573581,-140.7794337
IsleOfMay,-1.870623541,55.69573581,-142.4080673
IsleOfMay,-1.862287429,55.69573581,-143.9593677
IsleOfMay,-1.853951317,55.69573581,-145.4261217
IsleOfMay,-1.845615205,55.69573581,-146.8028339
IsleOfMay,-1.837279093,55.69573581,-148.0838268
IsleOfMay,-1.828942981,55.69573581,-149.262338
IsleOfMay,-1.820606869,55.69573581,-150.3319213
IsleOfMay,-1.895631877,55.70407182,-135.0843701
IsleOfMay,-1.887295765,55.70407182,-136.8770582
IsleOfMay,-1.878959653,55.70407182,-138.6051954
IsleOfMay,-1.870623541,55.70407182,-140.2623338
IsleOfMay,-1.862287429,55.70407182,-141.8418551
IsleOfMay,-1.853951317,55.70407182,-143.3369254
IsleOfMay,-1.845615205,55.70407182,-144.7411468
IsleOfMay,-1.837279093,55.70407182,-146.0480756
IsleOfMay,-1.828942981,55.70407182,-147.2503587
IsleOfMay,-1.820606869,55.70407182,-148.339389
IsleOfMay,-1.812270757,55.70407182,-149.3130323
IsleOfMay,-1.803934645,55.70407182,-150.1682866
IsleOfMay,-1.912304101,55.71240782,-128.9876514
IsleOfMay,-1.903967989,55.71240782,-130.9162752
IsleOfMay,-1.895631877,55.71240782,-132.7953003
IsleOfMay,-1.887295765,55.71240782,-134.6172124
IsleOfMay,-1.878959653,55.71240782,-136.3733493
IsleOfMay,-1.870623541,55.71240782,-138.0581615
IsleOfMay,-1.862287429,55.71240782,-139.6651688
IsleOfMay,-1.853951317,55.71240782,-141.1874489
IsleOfMay,-1.845615205,55.71240782,-142.6180087
IsleOfMay,-1.837279093,55.71240782,-143.9495536
IsleOfMay,-1.828942981,55.71240782,-145.1740966
IsleOfMay,-1.820606869,55.71240782,-146.2841933
IsleOfMay,-1.812270757,55.71240782,-147.2756538
IsleOfMay,-1.803934645,55.71240782,-148.1449272
IsleOfMay,-1.795598533,55.71240782,-148.8881903
IsleOfMay,-1.787262421,55.71240782,-149.5027369
IsleOfMay,-1.937312437,55.72074383,-120.4912772
IsleOfMay,-1.928976325,55.72074383,-122.5526826
IsleOfMay,-1.920640213,55.72074383,-124.5868181
IsleOfMay,-1.912304101,55.72074383,-126.5861227
IsleOfMay,-1.903967989,55.72074383,-128.5423228
IsleOfMay,-1.895631877,55.72074383,-130.4487289
IsleOfMay,-1.887295765,55.72074383,-132.2976743
IsleOfMay,-1.878959653,55.72074383,-134.0812968
IsleOfMay,-1.870623541,55.72074383,-135.793088
IsleOfMay,-1.862287429,55.72074383,-137.4265545
IsleOfMay,-1.853951317,55.72074383,-138.9747133
IsleOfMay,-1.845615205,55.72074383,-140.4302169
IsleOfMay,-1.837279093,55.72074383,-141.7852311
IsleOfMay,-1.828942981,55.72074383,-143.0315175
IsleOfMay,-1.820606869,55.72074383,-144.1617792
IsleOfMay,-1.812270757,55.72074383,-145.1709651
IsleOfMay,-1.803934645,55.72074383,-146.0547782
IsleOfMay,-1.795598533,55.72074383,-146.8083496
IsleOfMay,-1.787262421,55.72074383,-147.427472
IsleOfMay,-1.778926309,55.72074383,-147.9123163
IsleOfMay,-1.770590197,55.72074383,-148.2673694
IsleOfMay,-1.962320774,55.72907983,-111.6118036
IsleOfMay,-1.953984662,55.72907983,-113.7343033
IsleOfMay,-1.94564855,55.72907983,-115.8519543
IsleOfMay,-1.937312437,55.72907983,-117.9578814
IsleOfMay,-1.928976325,55.72907983,-120.0447071
IsleOfMay,-1.920640213,55.72907983,-122.1043904
IsleOfMay,-1.912304101,55.72907983,-124.1294494
IsleOfMay,-1.903967989,55.72907983,-126.1119029
IsleOfMay,-1.895631877,55.72907983,-128.0442265
IsleOfMay,-1.887295765,55.72907983,-129.9188228
IsleOfMay,-1.878959653,55.72907983,-131.7282182
IsleOfMay,-1.870623541,55.72907983,-133.4654876
IsleOfMay,-1.862287429,55.72907983,-135.1238228
IsleOfMay,-1.853951317,55.72907983,-136.6961213
IsleOfMay,-1.845615205,55.72907983,-138.1748824
IsleOfMay,-1.837279093,55.72907983,-139.5520699
IsleOfMay,-1.828942981,55.72907983,-140.8188969
IsleOfMay,-1.820606869,55.72907983,-141.9671896
IsleOfMay,-1.812270757,55.72907983,-142.9921901
IsleOfMay,-1.803934645,55.72907983,-143.8893295
IsleOfMay,-1.795598533,55.72907983,-144.6528441
IsleOfMay,-1.787262421,55.72907983,-145.2770618
