Site,Longitude,Latitude,Var1
IsleOfMay,-1.570523508,55.42064764,28.53260906
IsleOfMay,-1.570523508,55.42898365,36.1313368
IsleOfMay,-1.562187396,55.42898365,21.88909038
IsleOfMay,-1.553851284,55.42898365,6.837424014
IsleOfMay,-1.545515172,55.42898365,-9.040982968
IsleOfMay,-1.57885962,55.43731965,56.86991153
IsleOfMay,-1.570523508,55.43731965,43.51684855
IsleOfMay,-1.562187396,55.43731965,29.35771561
IsleOfMay,-1.553851284,55.43731965,14.37030078
IsleOfMay,-1.545515172,55.43731965,-1.463776858
IsleOfMay,-1.53717906,55.43731965,-18.15926279
IsleOfMay,-1.528842948,55.43731965,-35.72972739
IsleOfMay,-1.57885962,55.44565566,63.91572151
IsleOfMay,-1.570523508,55.44565566,50.66406354
IsleOfMay,-1.562187396,55.44565566,36.58898509
IsleOfMay,-1.553851284,55.44565566,21.66600637
IsleOfMay,-1.545515172,55.44565566,5.875548419
IsleOfMay,-1.53717906,55.44565566,-10.79611445
IsleOfMay,-1.528842948,55.44565566,-28.36198866
IsleOfMay,-1.520506836,55.44565566,-46.83900683
IsleOfMay,-1.512170724,55.44565566,-66.21818274
IsleOfMay,-1.57885962,55.45399166,70.69674144
IsleOfMay,-1.570523508,55.45399166,57.54575906
IsleOfMay,-1.562187396,55.45399166,43.55359006
IsleOfMay,-1.553851284,55.45399166,28.69349635
IsleOfMay,-1.545515172,55.45399166,12.9431012
IsleOfMay,-1.53717906,55.45399166,-3.709110416
IsleOfMay,-1.528842948,55.45399166,-21.27493658
IsleOfMay,-1.520506836,55.45399166,-39.76483826
IsleOfMay,-1.512170724,55.45399166,-59.17696467
IsleOfMay,-1.503834612,55.45399166,-79.51131864
IsleOfMay,-1.495498499,55.45399166,-100.7404958
IsleOfMay,-1.57885962,55.46232767,77.18637612
IsleOfMay,-1.570523508,55.46232767,64.1326828
IsleOfMay,-1.562187396,55.46232767,50.21804827
IsleOfMay,-1.553851284,55.46232767,35.41799125
IsleOfMay,-1.545515172,55.46232767,19.7044755
IsleOfMay,-1.53717906,55.46232767,3.07174204
IsleOfMay,-1.528842948,55.46232767,-14.49121096
IsleOfMay,-1.520506836,55.46232767,-32.99478322
IsleOfMay,-1.512170724,55.46232767,-52.4377479
IsleOfMay,-1.503834612,55.46232767,-72.81640773
IsleOfMay,-1.495498499,55.46232767,-94.11473381
IsleOfMay,-1.487162387,55.46232767,-116.3024815
IsleOfMay,-1.478826275,55.46232767,-139.3494249
IsleOfMay,-1.587195732,55.47066367,95.47937834
IsleOfMay,-1.57885962,55.47066367,83.35666778
IsleOfMay,-1.570523508,55.47066367,70.39421884
IsleOfMay,-1.562187396,55.47066367,56.54678155
IsleOfMay,-1.553851284,55.47066367,41.79841492
IsleOfMay,-1.545515172,55.47066367,26.12700015
IsleOfMay,-1.53717906,55.47066367,9.516943694
IsleOfMay,-1.528842948,55.47066367,-8.038526173
IsleOfMay,-1.520506836,55.47066367,-26.55320818
IsleOfMay,-1.512170724,55.47066367,-46.01838684
IsleOfMay,-1.503834612,55.47066367,-66.43074218
IsleOfMay,-1.495498499,55.47066367,-87.78665113
IsleOfMay,-1.487162387,55.47066367,-110.0512862
IsleOfMay,-1.478826275,55.47066367,-133.1950253
IsleOfMay,-1.470490163,55.47066367,-157.1893788
IsleOfMay,-1.462154051,55.47066367,-182.0043122
IsleOfMay,-1.453817939,55.47066367,-207.6092184
IsleOfMay,-1.587195732,55.47899968,101.2133677
IsleOfMay,-1.57885962,55.47899968,89.18226713
IsleOfMay,-1.570523508,55.47899968,76.29783559
IsleOfMay,-1.562187396,55.47899968,62.51480023
IsleOfMay,-1.553851284,55.47899968,47.81899502
IsleOfMay,-1.545515172,55.47899968,32.18957639
IsleOfMay,-1.53717906,55.47899968,15.59982504
IsleOfMay,-1.528842948,55.47899968,-1.949704162
IsleOfMay,-1.520506836,55.47899968,-20.46318559
IsleOfMay,-1.512170724,55.47899968,-39.94080667
IsleOfMay,-1.503834612,55.47899968,-60.38323337
IsleOfMay,-1.495498499,55.47899968,-81.7789686
IsleOfMay,-1.487162387,55.47899968,-104.1031921
IsleOfMay,-1.478826275,55.47899968,-127.329701
IsleOfMay,-1.470490163,55.47899968,-151.429033
IsleOfMay,-1.462154051,55.47899968,-176.3681734
IsleOfMay,-1.453817939,55.47899968,-202.1138065
IsleOfMay,-1.445481827,55.47899968,-228.6344268
IsleOfMay,-1.437145715,55.47899968,-255.9020174
IsleOfMay,-1.587195732,55.48733568,106.6062668
IsleOfMay,-1.57885962,55.48733568,94.65348002
IsleOfMay,-1.570523508,55.48733568,81.83431342
IsleOfMay,-1.562187396,55.48733568,68.1135041
IsleOfMay,-1.553851284,55.48733568,53.46839264
IsleOfMay,-1.545515172,55.48733568,37.87498171
IsleOfMay,-1.53717906,55.48733568,21.3101405
IsleOfMay,-1.528842948,55.48733568,3.772691692
IsleOfMay,-1.520506836,55.48733568,-14.73538268
IsleOfMay,-1.512170724,55.48733568,-34.21655526
IsleOfMay,-1.503834612,55.48733568,-54.67936015
IsleOfMay,-1.495498499,55.48733568,-76.1033704
IsleOfMay,-1.487162387,55.48733568,-98.47214339
IsleOfMay,-1.478826275,55.48733568,-121.7689873
IsleOfMay,-1.470490163,55.48733568,-145.9628147
IsleOfMay,-1.462154051,55.48733568,-171.0163325
IsleOfMay,-1.453817939,55.48733568,-196.8932149
IsleOfMay,-1.445481827,55.48733568,-223.5598939
IsleOfMay,-1.437145715,55.48733568,-250.987469
IsleOfMay,-1.428809603,55.48733568,-279.1535232
IsleOfMay,-1.420473491,55.48733568,-308.0093276
IsleOfMay,-1.595531844,55.49567169,122.6951025
IsleOfMay,-1.587195732,55.49567169,111.6573891
IsleOfMay,-1.57885962,55.49567169,99.7754849
IsleOfMay,-1.570523508,55.49567169,87.01632108
IsleOfMay,-1.562187396,55.49567169,73.34945206
IsleOfMay,-1.553851284,55.49567169,58.74979955
IsleOfMay,-1.545515172,55.49567169,43.19273881
IsleOfMay,-1.53717906,55.49567169,26.65106797
IsleOfMay,-1.528842948,55.49567169,9.128673796
IsleOfMay,-1.520506836,55.49567169,-9.373611019
IsleOfMay,-1.512170724,55.49567169,-28.85912312
IsleOfMay,-1.503834612,55.49567169,-49.32915516
IsleOfMay,-1.495498499,55.49567169,-70.77116181
IsleOfMay,-1.487162387,55.49567169,-93.17223465
IsleOfMay,-1.478826275,55.49567169,-116.5285453
IsleOfMay,-1.470490163,55.49567169,-140.8058622
IsleOfMay,-1.462154051,55.49567169,-165.9631128
