Site,Longitude,Latitude,Var1
IsleOfMay,-1.862287429,55.6790638,-119.424033
IsleOfMay,-1.870623541,55.68739981,-116.530396
IsleOfMay,-1.862287429,55.68739981,-117.8595816
IsleOfMay,-1.878959653,55.69573581,-113.4469738
IsleOfMay,-1.870623541,55.69573581,-114.8817277
IsleOfMay,-1.862287429,55.69573581,-116.2376347
IsleOfMay,-1.853951317,55.69573581,-117.5075043
IsleOfMay,-1.845615205,55.69573581,-118.6858641
IsleOfMay,-1.837279093,55.69573581,-119.7670586
IsleOfMay,-1.828942981,55.69573581,-120.7443475
IsleOfMay,-1.820606869,55.69573581,-121.6113064
IsleOfMay,-1.895631877,55.70407182,-108.5795995
IsleOfMay,-1.887295765,55.70407182,-110.1793835
IsleOfMay,-1.878959653,55.70407182,-111.7130595
IsleOfMay,-1.870623541,55.70407182,-113.1742034
IsleOfMay,-1.862287429,55.70407182,-114.5562208
IsleOfMay,-1.853951317,55.70407182,-115.852301
IsleOfMay,-1.845615205,55.70407182,-117.0560695
IsleOfMay,-1.837279093,55.70407182,-118.1611053
IsleOfMay,-1.828942981,55.70407182,-119.1600778
IsleOfMay,-1.820606869,55.70407182,-120.044402
IsleOfMay,-1.812270757,55.70407182,-120.8119656
IsleOfMay,-1.803934645,55.70407182,-121.4597882
IsleOfMay,-1.912304101,55.71240782,-103.309846
IsleOfMay,-1.903967989,55.71240782,-105.0465897
IsleOfMay,-1.895631877,55.71240782,-106.7321311
IsleOfMay,-1.887295765,55.71240782,-108.3589814
IsleOfMay,-1.878959653,55.71240782,-109.9185033
IsleOfMay,-1.870623541,55.71240782,-111.4051719
IsleOfMay,-1.862287429,55.71240782,-112.8125313
IsleOfMay,-1.853951317,55.71240782,-114.1336832
IsleOfMay,-1.845615205,55.71240782,-115.3616581
IsleOfMay,-1.837279093,55.71240782,-116.4891847
IsleOfMay,-1.828942981,55.71240782,-117.5082989
IsleOfMay,-1.820606869,55.71240782,-118.4115789
IsleOfMay,-1.812270757,55.71240782,-119.194857
IsleOfMay,-1.803934645,55.71240782,-119.8546042
IsleOfMay,-1.795598533,55.71240782,-120.3870188
IsleOfMay,-1.787262421,55.71240782,-120.7894159
IsleOfMay,-1.937312437,55.72074383,-95.82878924
IsleOfMay,-1.928976325,55.72074383,-97.70107018
IsleOfMay,-1.920640213,55.72074383,-99.54440162
IsleOfMay,-1.912304101,55.72074383,-101.3512497
IsleOfMay,-1.903967989,55.72074383,-103.1133672
